Crohn's Disease , ITF2357 , Italfarmaco ,20-Oct-07, Phase 1 , Terminated\,,,, 
 Dent's Disease , Hydrochlorothiazide , Assistance Publique - H\'f4pitaux de Paris , July 2003 , Phase 2 , Terminated\,,,,
 Autoimmune Inner Ear Disease , gevokizumab , XOMA (US) LLC ,20-Aug-13, Phase 2 , Terminated\,,,,
 Alzheimer Disease , ACC-001 + QS-21 , Pfizer ,20-May-07, Phase 2 , Completed\,,,,
 Alzheimer's Disease , risperidone , Janssen Pharmaceutical K.K. ,20-Mar-02, Phase 2 , Completed\,,,,
 Pelvic Inflammatory Disease , Moxifloxacin (Avelox, BAY12-8039) , Bayer , Phase 3 , Terminated\,,,,
 Peripheral Arterial Disease , Allopurinol , University of Dundee ,20-Feb-11, January 2007 , Phase 3 , Completed\,,,
 Crohn's Disease , probiotics , The Baruch Padeh Medical Center, Poriya , Phase 4 , Completed\,,,,
 Alzheimer's Disease , doxycycline , Hamilton Health Sciences Corporation ,20-Feb-07, December 2012 , Phase 4 , Unknown status\,,,
 Parkinson's Disease , IRX4204 , Io Therapeutics ,20-Aug-14, Phase 3 , Unknown status\,,,,
 Patients With Parkinson's Disease. , Virtual exercises , Faculdade Evangelica do Parana ,20-Feb-13, Phase 1 , Completed\,,,,
 Idiopathic Parkinson's Disease , Placebo , UCB Pharma ,20-Feb-11, Phase 4 , Completed\,,,,
 Parkinson's Disease , BF2.649 (Pitolisant) , Bioprojet ,20-Mar-10, Phase 4 , Completed\,,,,
 Pulmonary Disease, Chronic Obstructive , CNTO 6785 , Janssen Research & Development, Phase 3 , Completed\,,,,
 Disease Progression , Restasis , Innovative Medical ,20-Dec-07, LLC , November 2013 , Phase 2 , Completed\,,
 Alzheimer's Disease , Memantine , Florida Atlantic University , July 2007 , Phase 4 , Completed\,,,,
 Proliferative Thyroid Disease , Diindolylmethane (DIM) , The New York Eye & Ear Infirmary ,20-Nov-06, Phase 4 , Completed\,,,,
 Crohn's Disease , 4-Aminosalicylic acid , Jacobus Pharmaceutical ,20-Jan-07, Phase 0 , Terminated\,,,,
 Parkinson's Disease , Resonator Device , pico-tesla Magnetic Therapies, LLC , Phase 2 , Terminated\,,,,
 Sickle Cell Disease , 6R-BH4 (sapropterin dihydrochloride) , BioMarin Pharmaceutical ,20-Apr-07, March 2009 , Phase 3 , Unknown status\,,,
 Liver Disease , Cholate testing , Northwestern University , June 2015 , Phase 2 , Completed\,,,,
 Coronary Heart Disease , gemfibrozil , VA Office of Research and Development , June 1991 , Phase 0 , Enrolling by invitation\,,,,
 Meniere's Disease , SPI-1005 , Sound Pharmaceuticals, Incorporated , Phase 3 , Completed\,,,,
 Diabetes , Self-Care Stimulating Disease Prevention Program , National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) ,20-Nov-08, December 2015 , Phase 1 , Enrolling by invitation\,,,
 Beh\'e7et's Disease , Intravitreal Infliximab , Cairo University ,20-Jan-13, Phase 3 , Completed\,,,,
 Alzheimer's Disease , LY2886721 , Eli Lilly and Company ,20-Mar-12, Phase 1 , Completed\,,,,
 Alzheimer Disease , Galantamine HBr , Xian-Janssen Pharmaceutical Ltd. ,20-Mar-04, Phase 1 , Terminated\,,,,
 Coronary Heart Disease , Atorvastatin , Yonsei University , June 2009 , Phase 3 , Completed\,,,,
 Coronary Heart Disease (CHD) , anacetrapib , Merck Sharp & Dohme Corp. ,20-Mar-08, Phase 4 , Unknown status\,,,,
 Alzheimer Disease , Huperzine A , National Institute on Aging (NIA) ,20-Apr-04, Phase 3 , Active, not recruiting\,,,
 Parkinson's Disease , methylphenidate , Oregon Health and Science University , July 2004 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , TPI-287 2 mg/m2 , University of California, San Francisco , Phase 2 , Completed\,,,,
 Chronic Obstructive Pulmonary Disease (COPD) , NVA237 , Novartis Pharmaceuticals ,20-Mar-12, November 2013 , Phase 1 , Active, not recruiting\,,
 Alzheimer's Disease , Computer-based Cognitive Training , Posit Science Corporation ,20-Sep-04, Phase 3 , Completed\,,,,
 Heart Diseases , PiCCO Catheter (Pulsiocath 5F) , University of Zurich , July 2009 , Phase 1 , Completed\,,,,
 Gaucher Disease , Taliglucerase alfa , Protalix ,20-Aug-10, Phase 4 , Completed\,,,,
 Chronic Obstructive Pulmonary Disease (COPD) , Indacaterol 150 ,,, Phase 4 , Completed\,,,,
\f1 \uc0\u956 ,,,,,,,,,
\f0 g , Novartis , November 2007 , Phase 3 ,,,,,,
 Crohn's Disease , Rifabutin, Clarithromycin, and Clofazimine , Completed\,,,,,
 Crohn's Disease , GSK1605786A , GlaxoSmithKline ,20-Nov-11, Medstar Health Research Institute , January 2007 , Phase 4 , Unknown status\,,
 Alzheimer's Disease , G-CSF; filgrastim , University of South Florida , June 2009 , Phase 3 , Terminated\,,,,
 Parkinson's Disease , Exercise Programme , Oxford Brookes University ,20-Sep-11, Phase 1 , Completed\,,,,
 Parkinson's Disease , KW-6500 , Kyowa Hakko Kirin Company, Limited , Phase 2 , Completed\,,,,
 Parkinson's Disease , Eltoprazine HCl , Amarantus BioScience Holdings, Inc. , July 2009 , Phase 3 , Completed\,,,
 Sickle Cell Disease , Simvastatin , Children's Hospital & Research Center Oakland , June 2007 , May 2015 , Phase 2 , Active, not recruiting\,,
 Alzheimer Disease , Deep Brain Stimulation (Fornix DBS) , University Health Network, Toronto , Phase 1 , Completed\,,,,
 Parkinson Disease, Idiopathic , SPM 962 , UCB Pharma , March 2007 , Phase 1 , Unknown status\,,,
 Parkinson's Disease , Istradefylline , Kyowa Hakko Kirin Company, Limited , March 2004 , Phase 3 , Completed\,,,
 Huntington Disease , Memantine , University of British Columbia ,20-Sep-11, October 2009 , Phase 3 , Completed\,,,
 Crohn's Disease , GS-5745 , Gilead Sciences ,20-Apr-15, Phase 2 , Completed\,,,,
 Kawasaki Disease , IVIG (1g/kg,once) , Children's Hospital of Fudan University , Phase 2 , Active, not recruiting\,,,
 Parkinson's Disease , LUBIPROSTONE , Baylor College of Medicine ,20-Feb-09, January 2014 , Phase 3 , Completed\,,,
 Dyskinesias , talampanel , Teva Pharmaceutical Industries ,20-Dec-06, Phase 4 , Completed\,,,,
 Avascular Necrosis of Femur Head , Stem Cell Graft Group , Federal University of Bahia ,20-Aug-06, Phase 1 , Completed\,,,,
 Parkinson's Disease , minocycline , University of Rochester ,20-May-03, Phase 1 , Enrolling by invitation\,,,,
 Alzheimer Disease , NIC5-15 , VA Office of Research and Development ,20-Jan-07, Phase 2 , Completed\,,,,
 Alzheimer's Disease , donepezil HCl (Aricept) , Eisai Inc. , July 2007 , Phase 2 , Completed\,,,,
 Mild Cognitive Impairment , Minocycline , Huntington Medical Research Institutes ,20-Sep-11, Phase 4 , Completed\,,,,
 Parkinson Disease , Levodopa (drug), intraduodenal administration , University Hospital, Phase 2 , Completed\,,,,
 Alzheimer Disease , DMXB-A , CoMentis ,20-Nov-06, Akershus , January 2006 , Phase 4 , Completed\,,
 End-Stage Renal Disease , Telavancin , University of Michigan , July 2015 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , MK0249 , Merck Sharp & Dohme Corp. ,20-Nov-06, Phase 4 , Completed\,,,,
 Alzheimer's Disease , masitinib (AB1010) , AB Science ,20-Feb-06, Phase 2 , Completed\,,,,
 Coronary Disease , Caffeine , Sheba Medical Center ,20-Nov-07, Phase 2 , Completed\,,,,
 Alzheimer's Disease , donepezil , Vanderbilt University ,20-Dec-06, Phase 3 , Completed\,,,,
 Parkinson's Disease , SLV308 , Solvay Pharmaceuticals ,20-Oct-05, Phase 1 , Unknown status\,,,,
 Chronic Kidney Disease , GCS-100 , La Jolla Pharmaceutical Company ,20-Jan-13, Phase 3 , Completed\,,,,
 Alzheimer's Disease , Etanercept , Life Extension Foundation Inc. ,20-Feb-10, Phase 1 , Completed\,,,,
 Graft Versus Host Disease , Rituximab , University Health Network, Toronto , Phase 1 , Completed\,,,,
 Paget's Disease of Bone , Zoledronic acid , Novartis Pharmaceuticals ,20-Oct-08, May 2010 , Phase 2 , Terminated\,,,
 Parkinson's Disease , CERE-120: AAV2-NTN , Ceregene , June 2005 , Phase 4 , Completed\,,,,
 Crohn's Disease , Certolizumab Pegol (CDP870) , UCB Pharma ,20-Dec-03, Phase 1 , Completed\,,,,
 Parkinson Disease , Pramipexole , Boehringer Ingelheim ,19-Apr-99, Phase 3 , Completed\,,,,
 Parkinson's Disease , AVE8112 , Michael J. Fox Foundation for Parkinson's Research ,20-Jan-13, Phase 3 , Completed\,,,,
 Chagas Disease , Benznidazole , Hospital Universitari Vall d'Hebron Research Institute ,20-Sep-10, Phase 1 , Terminated\,,,,
 Parkinson's Disease , Lokomat , VA Office of Research and Development ,20-Oct-08, Phase 2 , Completed\,,,,
 Dementia , risperidone , Johnson & Johnson Pharmaceutical Research & Development, L.L.C. , Phase 1 , Completed\,,,,
 Chronic Kidney Disease , PRT-201 , Proteon Therapeutics ,20-Sep-09, December 2000 , Phase 3 , Completed\,,,
 Chronic Obstructive Pulmonary Disease (COPD) , Budesonide/formoterol (Symbicort\'ae Turbuhaler\'ae) , AstraZeneca , July 2011 , Phase 1 , Completed\,,,,
 Alzheimer Disease , Donepezil (Aricept) , Pfizer ,20-Oct-02, Phase 4 , Completed\,,,,
 Lymphoproliferative Disorder , therapeutic allogeneic lymphocytes , University of Edinburgh ,20-Mar-01, Phase 3 , Completed\,,,,
 Gaucher Disease , OGT 918 , National Institute of Neurological Disorders and Stroke (NINDS) , July 2002 , Phase 3 , Unknown status\,,,,
 Chronic Kidney Disease , paricalcitol , Abbott ,20-Nov-09, Phase 2 , Completed\,,,,
 Alzheimer's Disease , Nerve Growth Factor , NsGene A/S ,20-Jan-08, Phase 3 , Completed\,,,,
 Mild to Severe Alzheimer's Disease , Donepezil HCl , Eisai Inc. ,20-Jan-08, Phase 1 , Unknown status\,,,,
 Graft vs Host Disease , ASEDs , National Eye Institute (NEI) ,20-Nov-13, Phase 4 , Completed\,,,,
 Lymphoproliferative Disorders , MEDI-507 , MedImmune LLC ,20-Apr-04, Phase 2 , Terminated\,,,,
 Idiopathic Parkinson's Disease , CVT-301 , Acorda Therapeutics ,20-Apr-13, Phase 1 , Terminated\,,,,
 Alzheimer's Disease , ACC-001 3 ,,, Phase 2 , Completed\,,,,
\f1 \uc0\u956 ,,,,,,,,,
\f0 g/ QS-21 50 ,,,,,,,,,
\f1 \uc0\u956 ,,,,,,,,,
\f0 g , Pfizer , February 2011 , Phase 2 ,,,,,,
 Alzheimer Disease , Leuprolide acetate , Voyager Pharmaceutical Corporation ,20-Mar-03, Completed\,,,,,
 Sickle Cell Disease , L-citrulline tablets, 1000 mg , Angiogenix , Phase 2 , Completed\,,,,
 Coat's Disease , anecortave acetate , Manhattan Eye, Ear & Throat Hospital , June 21,2006, Phase 1 , Unknown status\,,
},,,, March 2002 , Phase 2 , Completed\,,,
